year,day,part_one_millis,part_two_millis,total
2023,1,0.025253887180440318,0.15842931166162122,0.18368319884206152
2024,1,0.04866095332046835,0.04426554459392429,0.09292649791439264
2024,2,0.08940123541837623,0.08870599730080886,0.1781072327191851
2024,3,0.3655369828054394,0.3690328429261093,0.7345698257315487
2024,4,0.17877947225454832,0.09518665135380092,0.27396612360834927
2024,5,0.16313869021299138,0.15912684951670503,0.3222655397296964
2024,6,0.09232934508471556,2.094621996250001,2.186951341334716
2024,7,0.17455322225684036,4.438848947333335,4.613402169590175
2024,8,0.019432104734504723,0.04401572840073696,0.06344783313524169
2024,9,0.22689989254999463,0.5525772233910989,0.7794771159410936
2024,10,0.07188186762684322,0.061182698915893556,0.13306456654273677
2024,11,0.042996833344028394,2.4307923214285707,2.473789154772599
2024,12,1.0405953357293085,1.83462931094199,2.8752246466712985
2024,13,0.031475898386599976,0.031798096548864695,0.06327399493546468
2024,14,0.029206584927933973,0.17403446952019822,0.20324105444813217
2024,15,0.37485281353662014,0.5321195801417541,0.9069723936783742
2024,16,3.184521066875,6.106551065555554,9.291072132430553
2024,17,0.0016317947813191845,5.4309611580000015,5.432592952781321
2024,18,0.47588845250610784,2.3278632190909083,2.8037516715970163
2024,19,0.34924813675432703,0.3253624778143717,0.6746106145686988
2024,20,0.6249754710227912,4.863266837,5.488242308022792
2024,21,0.0050199823991629,0.06223955983558576,0.06725954223474866
2024,22,1.2893268681260155,32.40627479,33.695601658126016
2024,23,0.4077634667339492,7.956917498571431,8.36468096530538
2024,24,0.026500115223630834,0.04671605386764299,0.07321616909127382
2024,25,0.17904901721670208,3.166042462005912e-7,0.1790493338209483
